id,app_id,naam,omschrijving,prijs_cent,interval,scans_per_periode,scans_totaal,mag_exporteren,bewaart_historie,mag_notificaties,toont_vindplaatsen,volgorde
job-radar-basis,job-radar,Basis,"Tien scans per maand, resultaten bewaard, export en cv-tips",1900,maand,10,,true,true,false,false,2
job-radar-pro,job-radar,Pro,"Veertig scans per maand, historie en vergelijking, notificaties en vindplaatsen",4900,maand,40,,true,true,true,true,3
job-radar-proef,job-radar,Proef,Drie scans om kennis te maken,0,gratis,,3,false,false,false,false,1
